edge_id,source_node_id,source_node_name,source_label,relationship_type,relationship_name,target_node_id,target_node_name,target_label,dependency_strength,is_required,auto_discovery,impact_analysis,inspection_purpose,inspection_check_item,risk_signal,impact_direction,alert_aggregation,discovery_method,graph_view,remark
REL-015,RT-006,Deployment,Deployment,USES,使用,RT-009,ConfigMap,ConfigMap,强,是,自动,是,识别工作负载使用的普通配置。,检查 ConfigMap 是否存在；是否被正确挂载或注入环境变量。,引用不存在；配置键缺失；配置漂移；未版本化。,ConfigMap -> Deployment -> 组件,配置风险影响使用它的 Deployment。,Kubernetes API 解析 envFrom/volume/configMapRef,配置风险视图,
REL-016,RT-009,ConfigMap,ConfigMap,DEPLOYED_IN,部署在,RT-005,命名空间,Namespace,强,是,自动,是,定位配置对象作用域。,检查 ConfigMap 是否在 Deployment 同命名空间；配置命名规范。,跨命名空间引用异常；命名不规范；无人维护。,ConfigMap -> Namespace,配置风险按命名空间聚合。,Kubernetes API,配置风险视图,
REL-017,RT-005,命名空间,Namespace,CONTAINS,包含,RT-009,ConfigMap,ConfigMap,中,是,自动,是,从命名空间视角盘点配置。,检查未被使用的 ConfigMap；关键配置是否存在。,孤儿 ConfigMap；关键配置缺失；配置过大。,Namespace -> ConfigMap,命名空间配置风险聚合。,Kubernetes API,配置风险视图,
REL-018,RT-006,Deployment,Deployment,USES,使用,RT-010,Secret,Secret,强,是,自动,是,识别工作负载使用的敏感配置。,检查 Secret 是否存在；是否被正确挂载；是否符合密钥治理规范。,引用不存在；Secret 明文管理；证书过期；长期未轮换。,Secret -> Deployment -> 组件,密钥风险影响使用它的 Deployment。,Kubernetes API 解析 env/volume/secretRef,密钥风险视图,敏感对象展示需脱敏。
REL-019,RT-010,Secret,Secret,DEPLOYED_IN,部署在,RT-005,命名空间,Namespace,强,是,自动,是,定位 Secret 作用域。,检查 Secret 是否在正确命名空间；类型是否符合用途。,Secret 类型错误；命名空间不匹配；权限过大。,Secret -> Namespace,Secret 风险按命名空间聚合。,Kubernetes API,密钥风险视图,
REL-020,RT-005,命名空间,Namespace,CONTAINS,包含,RT-010,Secret,Secret,中,是,自动,是,从命名空间视角盘点密钥。,检查孤儿 Secret、过期证书、未轮换密钥。,孤儿 Secret；TLS 证书过期；密钥长期未更新。,Namespace -> Secret,命名空间密钥风险聚合。,Kubernetes API,密钥风险视图,
REL-021,RT-006,Deployment,Deployment,USES,使用,RT-012,容器镜像,ContainerImage,强,是,自动,是,识别 Deployment 使用的镜像制品。,检查镜像标签、Digest、版本、漏洞、拉取策略。,使用 latest；Digest 缺失；镜像漏洞高危；镜像不存在。,Image -> Deployment -> 组件 -> 应用,镜像风险影响所有使用它的 Deployment。,Kubernetes API + 镜像扫描平台,镜像风险视图,生产建议绑定 Digest。
REL-022,RT-012,容器镜像,ContainerImage,STORED_IN,存储于,RT-011,镜像仓库,ContainerRegistry,强,是,自动,是,定位镜像来源仓库。,检查镜像仓库可用性、访问权限、扫描策略。,仓库不可达；镜像拉取失败；未开启漏洞扫描。,Registry -> Image -> Deployment,仓库异常影响镜像拉取和发布。,镜像仓库 API/CI 平台,镜像风险视图,
REL-023,RT-011,镜像仓库,ContainerRegistry,CONTAINS,包含,RT-012,容器镜像,ContainerImage,中,是,自动,是,从仓库视角盘点镜像。,检查过期镜像、未扫描镜像、无标签规范镜像。,镜像过期；漏洞未修复；无 owner。,Registry -> Image -> App,镜像治理风险聚合。,镜像仓库 API,镜像治理视图,
REL-024,RT-013,告警规则,AlertRule,MONITORS,监控,RT-003,应用组件,ApplicationComponent,强,是,半自动,是,定义组件级告警覆盖。,检查组件是否有可用性、错误率、延迟、资源使用率告警。,组件无告警；告警规则禁用；规则表达式错误；通知对象缺失。,AlertRule -> Component -> App,组件告警向应用归并。,Prometheus/告警平台 + 服务目录映射,告警覆盖视图,建议以组件为告警归并中心。
REL-025,RT-013,告警规则,AlertRule,MONITORS,监控,RT-006,Deployment,Deployment,中,是,半自动,是,定义工作负载级告警覆盖。,检查副本不可用、重启、滚动发布异常、资源超限告警。,Deployment 无告警；阈值过宽/过严；规则未生效。,AlertRule -> Deployment -> Component,工作负载告警归并到组件。,Prometheus/告警平台 + Kubernetes 标签,告警覆盖视图,
REL-026,RT-013,告警规则,AlertRule,MONITORS,监控,RT-007,Service,Service,中,是,半自动,是,定义访问服务告警覆盖。,检查 Service 可用性、后端为空、请求错误率。,Service 无后端告警；无可用性探测。,AlertRule -> Service -> Component,访问告警归并到组件。,监控平台 + K8s 标签,告警覆盖视图,
REL-027,RT-013,告警规则,AlertRule,MONITORS,监控,RT-008,Ingress,Ingress,中,是,半自动,是,定义入口访问告警覆盖。,检查 4xx/5xx、证书过期、入口不可达、延迟告警。,入口无告警；证书过期未告警；域名不可达。,AlertRule -> Ingress -> Service -> Component,入口告警归并到应用。,Ingress Controller 指标 + 告警平台,访问链路视图,
REL-028,RT-014,仪表盘,Dashboard,VISUALIZES,可视化,RT-003,应用组件,ApplicationComponent,中,否,半自动,否,提供组件运维观察入口。,检查组件是否有仪表盘；核心面板是否覆盖 RED/USE 指标。,组件无仪表盘；面板无数据；变量错误。,Dashboard -> Component,不用于强影响分析，主要用于观察入口。,Grafana/可视化平台 + 服务目录映射,观测覆盖视图,
REL-029,RT-014,仪表盘,Dashboard,VISUALIZES,可视化,RT-006,Deployment,Deployment,弱,否,半自动,否,展示工作负载运行指标。,检查副本、CPU、内存、重启、发布状态面板。,面板缺失；查询标签不匹配；数据断流。,Dashboard -> Deployment,辅助定位。,Grafana/Prometheus 标签,观测覆盖视图,
REL-030,RT-002,应用,Application,HAS_ALERT_RULE,拥有告警规则,RT-013,告警规则,AlertRule,中,否,半自动,是,从应用维度检查告警覆盖完整性。,检查生产应用是否至少有应用级告警规则。,应用无告警规则；告警规则未绑定负责人。,Application -> AlertRule,应用层告警归并。,告警平台 + 服务目录,告警覆盖视图,
REL-031,RT-002,应用,Application,HAS_DASHBOARD,拥有仪表盘,RT-014,仪表盘,Dashboard,弱,否,半自动,否,从应用维度检查可视化覆盖。,检查生产应用是否有总览仪表盘。,应用无总览仪表盘；仪表盘无数据。,Application -> Dashboard,辅助观察。,可视化平台 + 服务目录,观测覆盖视图,
REL-032,RT-003,应用组件,ApplicationComponent,USES,使用,RT-009,ConfigMap,ConfigMap,中,是,推导,是,从组件视角抽象配置依赖。,检查组件关联配置是否完整；是否存在配置漂移。,组件声明配置与 Deployment 实际使用不一致。,Component -> ConfigMap -> Deployment,配置风险归并到组件。,由 Deployment uses ConfigMap 推导,配置风险视图,可由图规则推导，不一定直接入库。
REL-033,RT-003,应用组件,ApplicationComponent,USES,使用,RT-010,Secret,Secret,中,是,推导,是,从组件视角抽象密钥依赖。,检查组件关联密钥是否完整；密钥轮换是否覆盖。,组件声明密钥与实际使用不一致；密钥过期。,Component -> Secret -> Deployment,密钥风险归并到组件。,由 Deployment uses Secret 推导,密钥风险视图,可由图规则推导。
REL-034,RT-003,应用组件,ApplicationComponent,USES,使用,RT-012,容器镜像,ContainerImage,中,是,推导,是,从组件视角抽象镜像依赖。,检查组件当前镜像版本、漏洞和更新周期。,组件使用高危镜像；镜像版本落后；未绑定 Digest。,Component -> Image -> Deployment,镜像风险归并到组件。,由 Deployment uses Image 推导,镜像风险视图,可由图规则推导。
