node_id,label,name,unique_key,env_code,app_code,component_code,cluster_id,namespace,owner_team,lifecycle_status,health_status,risk_level,inspection_status,last_inspected_at,source_system,source_ref,attrs_json
rule-009,InspectionRule,ConfigMap 配置漂移,rule-009,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-009,"{""rule_category"":""config"",""severity"":""warning"",""applies_to_resource_type"":""ConfigMap"",""description"":""与基线版本不一致"",""remediation"":""对比配置差异；评估变更风险；决定回滚或更新基线"",""enabled"":true}"
rule-010,InspectionRule,容器以 root 运行,rule-010,,,,,,SRE,active,normal,low,,,InspectionEngine,rules/rule-010,"{""rule_category"":""security"",""severity"":""critical"",""applies_to_resource_type"":""Container"",""description"":""安全上下文 allowPrivilegeEscalation"",""remediation"":""设置 runAsNonRoot=true；配置 securityContext"",""enabled"":true}"
finding-run1-001,InspectionFinding,Deployment order-api 期望副本 3，可用副本 2,finding-run1-001,prod,order,order-api,cce-prod-01,order,SRE,active,warning,medium,failed,2026-06-15T10:00:00+08:00,InspectionEngine,findings/finding-run1-001,"{""rule_id"":""rule-003"",""rule_name"":""Deployment 副本不一致"",""severity"":""warning"",""status"":""open"",""affected_resource_id"":""deploy:cce-prod-01:order:order-api"",""affected_resource_type"":""Deployment"",""affected_resource_name"":""order-api"",""description"":""Deployment order-api 期望副本 3，可用副本 2"",""evidence"":{""desired_replicas"":3,""available_replicas"":2,""current_value"":2,""threshold"":3},""recommendation"":""检查 Pod 状态，排查 CrashLoopBackOff 或资源不足"",""detected_at"":""2026-06-15T10:00:00+08:00""}"
finding-run1-002,InspectionFinding,Secret order-api-secret 将在 14 天后过期,finding-run1-002,prod,order,order-api,cce-prod-01,order,SRE,active,warning,medium,failed,2026-06-15T10:00:00+08:00,InspectionEngine,findings/finding-run1-002,"{""rule_id"":""rule-004"",""rule_name"":""Secret 即将过期"",""severity"":""warning"",""status"":""open"",""affected_resource_id"":""secret:cce-prod-01:order:order-api-secret"",""affected_resource_type"":""Secret"",""affected_resource_name"":""order-api-secret"",""description"":""Secret order-api-secret 将在 14 天后过期"",""evidence"":{""expiry_days"":14,""expiry_date"":""2026-06-29T10:00:00Z"",""threshold_days"":30},""recommendation"":""联系密钥管理员轮换；验证轮换后的部署"",""detected_at"":""2026-06-15T10:00:00+08:00""}"
finding-run1-003,InspectionFinding,镜像 order-api:1.2.3 存在 1 个 Critical 级别 CVE: CVE-2026-1234 (CVSS 9.8),finding-run1-003,prod,order,order-api,cce-prod-01,order,SRE,active,critical,high,failed,2026-06-15T10:00:00+08:00,InspectionEngine,findings/finding-run1-003,"{""rule_id"":""rule-005"",""rule_name"":""镜像存在高危漏洞"",""severity"":""critical"",""status"":""open"",""affected_resource_id"":""image:order-api:1.2.3"",""affected_resource_type"":""ContainerImage"",""affected_resource_name"":""order-api:1.2.3"",""description"":""镜像 order-api:1.2.3 存在 1 个 Critical 级别 CVE: CVE-2026-1234 (CVSS 9.8)"",""evidence"":{""critical_vulns"":1,""high_vulns"":3,""cve_list"":[{""id"":""CVE-2026-1234"",""cvss"":9.8,""package"":""openssl"",""fixed_version"":""1.1.1w""}]},""recommendation"":""升级镜像到修复版本 order-api:v1.2.4 或申请漏洞例外"",""detected_at"":""2026-06-15T10:00:00+08:00""}"
finding-run2-001,InspectionFinding,Pod order-api-6fd9c8b7c9-abcdf CPU 使用率 86.5% 超过 80% 阈值,finding-run2-001,prod,order,order-api,cce-prod-01,order,SRE,active,warning,medium,failed,2026-06-15T10:00:00+08:00,InspectionEngine,findings/finding-run2-001,"{""rule_id"":""rule-001"",""rule_name"":""Pod CPU 使用率过高"",""severity"":""warning"",""status"":""open"",""affected_resource_id"":""pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf"",""affected_resource_type"":""Pod"",""affected_resource_name"":""order-api-6fd9c8b7c9-abcdf"",""description"":""Pod order-api-6fd9c8b7c9-abcdf CPU 使用率 86.5% 超过 80% 阈值"",""evidence"":{""current_value"":86.5,""threshold"":80,""unit"":""percent"",""measured_at"":""2026-06-15T10:03:00Z""},""recommendation"":""检查应用性能问题；考虑增加 CPU 限制或水平扩展"",""detected_at"":""2026-06-15T10:00:00+08:00""}"
finding-run2-002,InspectionFinding,Pod order-api-6fd9c8b7c9-abcdf 24h 内重启 3 次,finding-run2-002,prod,order,order-api,cce-prod-01,order,SRE,active,warning,medium,failed,2026-06-15T10:00:00+08:00,InspectionEngine,findings/finding-run2-002,"{""rule_id"":""rule-002"",""rule_name"":""Pod 频繁重启"",""severity"":""warning"",""status"":""open"",""affected_resource_id"":""pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf"",""affected_resource_type"":""Pod"",""affected_resource_name"":""order-api-6fd9c8b7c9-abcdf"",""description"":""Pod order-api-6fd9c8b7c9-abcdf 24h 内重启 3 次"",""evidence"":{""restart_count_24h"":3,""threshold"":10,""status"":""warning""},""recommendation"":""检查应用日志；排查 OOM 或性能瓶颈"",""detected_at"":""2026-06-15T10:00:00+08:00""}"
finding-run2-003,InspectionFinding,节点 worker-02 磁盘使用率 72%，接近 80% 阈值,finding-run2-003,prod,order,order-api,cce-prod-01,order,SRE,active,warning,medium,failed,2026-06-15T10:00:00+08:00,InspectionEngine,findings/finding-run2-003,"{""rule_id"":""rule-008"",""rule_name"":""节点资源压力"",""severity"":""warning"",""status"":""open"",""affected_resource_id"":""node:cce-prod-01:worker-02"",""affected_resource_type"":""KubernetesNode"",""affected_resource_name"":""worker-02"",""description"":""节点 worker-02 磁盘使用率 72%，接近 80% 阈值"",""evidence"":{""disk_usage_percent"":72,""threshold"":80,""filesystem"":""/var/lib/docker""},""recommendation"":""清理未使用的镜像和容器；考虑扩展节点"",""detected_at"":""2026-06-15T10:00:00+08:00""}"
alert-order-api-error-rate,AlertEvent,OrderAPIHighErrorRate,alert-order-api-error-rate,prod,order,order-api,cce-prod-01,order,SRE,active,critical,high,,,AlertManager,alerts/fpr_abc123def456,"{""alert_name"":""OrderAPIHighErrorRate"",""severity"":""critical"",""status"":""firing"",""fired_at"":""2026-06-15T09:45:00+08:00"",""resolved_at"":"""",""summary"":""订单 API 错误率超过 5%"",""description"":""order-api 组件错误率 7.2% 超过 critical 阈值 5%，持续 15 分钟"",""affected_labels"":{""namespace"":""order"",""pod"":""order-api-6fd9c8b7c9-abcdf"",""deployment"":""order-api"",""component"":""order-api"",""application"":""order""},""resource_ref"":""pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdf""}"
alert-pod-restart-loop,AlertEvent,PodRestartLoop,alert-pod-restart-loop,prod,order,order-api,cce-prod-01,order,SRE,active,critical,medium,,,AlertManager,alerts/fpr_def789ghi012,"{""alert_name"":""PodRestartLoop"",""severity"":""warning"",""status"":""firing"",""fired_at"":""2026-06-15T09:30:00+08:00"",""resolved_at"":"""",""summary"":""Pod order-api-6fd9c8b7c9-abcdl 频繁重启"",""description"":""Pod order-api-6fd9c8b7c9-abcdl 在过去 1 小时内重启了 2 次"",""affected_labels"":{""namespace"":""order"",""pod"":""order-api-6fd9c8b7c9-abcdl"",""deployment"":""order-api"",""component"":""order-api"",""application"":""order""},""resource_ref"":""pod:cce-prod-01:order:order-api-6fd9c8b7c9-abcdl""}"
alert-node-disk-pressure,AlertEvent,NodeDiskPressure,alert-node-disk-pressure,prod,,order-api,cce-prod-01,order,SRE,active,critical,medium,,,AlertManager,alerts/fpr_jkl345mno678,"{""alert_name"":""NodeDiskPressure"",""severity"":""warning"",""status"":""firing"",""fired_at"":""2026-06-15T09:00:00+08:00"",""resolved_at"":"""",""summary"":""节点 worker-02 磁盘空间不足"",""description"":""节点 worker-02 磁盘使用率 72%，文件系统 /var/lib/docker 空间不足"",""affected_labels"":{""node"":""worker-02"",""cluster"":""cce-prod-01""},""resource_ref"":""node:cce-prod-01:worker-02""}"
alert-tls-cert-expiring,AlertEvent,TLSCertExpiring,alert-tls-cert-expiring,prod,order,order-api,cce-prod-01,order,SRE,active,critical,medium,,,AlertManager,alerts/fpr_pqr901stu234,"{""alert_name"":""TLSCertExpiring"",""severity"":""warning"",""status"":""firing"",""fired_at"":""2026-06-15T08:00:00+08:00"",""resolved_at"":"""",""summary"":""Ingress TLS 证书即将过期"",""description"":""order.example.com 的 TLS 证书将在 14 天后过期"",""affected_labels"":{""host"":""order.example.com"",""namespace"":""order"",""ingress"":""order-api-ing""},""resource_ref"":""ing:cce-prod-01:order:order-api""}"
alert-deploy-replicas-mismatch,AlertEvent,DeploymentReplicasMismatch,alert-deploy-replicas-mismatch,prod,order,order-api,cce-prod-01,order,SRE,active,normal,medium,,,AlertManager,alerts/fpr_vwx567yza890,"{""alert_name"":""DeploymentReplicasMismatch"",""severity"":""warning"",""status"":""resolved"",""fired_at"":""2026-06-15T04:00:00+08:00"",""resolved_at"":""2026-06-15T07:00:00+08:00"",""summary"":""Deployment order-api 副本不一致"",""description"":""Deployment order-api 期望 3 副本，实际 2 副本可用（已恢复）"",""affected_labels"":{""namespace"":""order"",""deployment"":""order-api"",""component"":""order-api"",""application"":""order""},""resource_ref"":""deploy:cce-prod-01:order:order-api""}"
